ALL
"PAT_NO	ADM_DATE	DIS_DATE	TOT_NO_DXS	OCCURRENCE	DIAGNOSIS"
"1443805	10/29/00	11/8/00	20	1	578.9"
"					"
"1443805	10/29/00	11/8/00	20	2	285.1"
"					"
"1443805	10/29/00	11/8/00	20	3	38.8"
"					"
"1443805	10/29/00	11/8/00	20	4	599"
"					"
"1443805	10/29/00	11/8/00	20	5	428"
"					"
"1443805	10/29/00	11/8/00	20	6	591"
"					"
"1443805	10/29/00	11/8/00	20	7	496"
"					"
"1443805	10/29/00	11/8/00	20	8	424"
"					"
"1443805	10/29/00	11/8/00	20	9	286.9"
"					"
"1443805	10/29/00	11/8/00	20	10	789.5"
"					"
"1443805	10/29/00	11/8/00	20	11	287.4"
"					"
"1443805	10/29/00	11/8/00	20	12	238.7"
"					"
"1443805	10/29/00	11/8/00	20	13	211.3"
"					"
"1443805	10/29/00	11/8/00	20	14	593.3"
"					"
"1443805	10/29/00	11/8/00	20	15	427.69"
"					"
"1443805	10/29/00	11/8/00	20	16	429.3"
"					"
"1443805	10/29/00	11/8/00	20	17	1045.81"
"					"
"1443805	10/29/00	11/8/00	20	18	414"
"					"
"1443805	10/29/00	11/8/00	20	19	416.8"
"					"
"1443805	10/29/00	11/8/00	20	20	789.2"
"					"
"1443805	11/23/00	12/2/00	10	1	578.9"
"					"
"1443805	11/23/00	12/2/00	10	2	287.4"
"					"
"1443805	11/23/00	12/2/00	10	3	428"
"					"
"1443805	11/23/00	12/2/00	10	4	496"
"					"
"1443805	11/23/00	12/2/00	10	5	276.8"
"					"
"1443805	11/23/00	12/2/00	10	6	424"
"					"
"1443805	11/23/00	12/2/00	10	7	38.1"
"					"
"1443805	11/23/00	12/2/00	10	8	238.7"
"					"
"1443805	11/23/00	12/2/00	10	9	569.84"
"					"
"1443805	11/23/00	12/2/00	10	10	285.8"
"					"
"1464571	12/7/00	12/9/00	7	1	574.2"
"					"
"1464571	12/7/00	12/9/00	7	2	413.9"
"					"
"1464571	12/7/00	12/9/00	7	3	250"
"					"
"1464571	12/7/00	12/9/00	7	4	412"
"					"
"1464571	12/7/00	12/9/00	7	5	786.5"
"					"
"1464571	12/7/00	12/9/00	7	6	427.69"
"					"
"1464571	12/7/00	12/9/00	7	7	414"
"					"
"1467541	10/31/00	11/2/00	2	1	414"
"					"
"1467541	10/31/00	11/2/00	2	2	411.1"
"					"
"1469947	11/18/00	11/19/00	2	1	642.31"
"					"
"1469947	11/18/00	11/19/00	2	2	1027"
"					"
"1477519	10/11/00	10/13/00	3	1	661.11"
"					"
"1477519	10/11/00	10/13/00	3	2	660.31"
"					"
"1477519	10/11/00	10/13/00	3	3	1027"
"					"
"1490143	12/23/00	12/25/00	2	1	666.22"
"					"
"1490143	12/23/00	12/25/00	2	2	1027"
"					"
"1498531	12/17/00	12/23/00	7	1	682.3"
"					"
"1498531	12/17/00	12/23/00	7	2	424"
"					"
"1498531	12/17/00	12/23/00	7	3	41.1"
"					"
"1498531	12/17/00	12/23/00	7	4	459.81"
"					"
"1498531	12/17/00	12/23/00	7	5	715.9"
"					"
"1498531	12/17/00	12/23/00	7	6	733"
"					"
"1498531	12/17/00	12/23/00	7	7	737.43"
"					"
"1503925	11/11/00	11/13/00	2	1	654.21"
"					"
"1503925	11/11/00	11/13/00	2	2	1027"
"					"
"1508209	10/5/00	10/7/00	2	1	650"
"					"
"1508209	10/5/00	10/7/00	2	2	1027"
"					"
"1508257	11/21/00	11/24/00	5	1	428"
"					"
"1508257	11/21/00	11/24/00	5	2	412"
"					"
"1508257	11/21/00	11/24/00	5	3	1043.3"
"					"
"1508257	11/21/00	11/24/00	5	4	784.3"
"					"
"1508257	11/21/00	11/24/00	5	5	438"
"					"
"1522585	10/16/00	10/20/00	2	1	727.66"
"					"
"1522585	10/16/00	10/20/00	2	2	244.9"
"					"
"1525087	11/17/00	11/18/00	5	1	786.5"
"					"
"1525087	11/17/00	11/18/00	5	2	401.9"
"					"
"1525087	11/17/00	11/18/00	5	3	533.9"
"					"
"1525087	11/17/00	11/18/00	5	4	272"
"					"
"1525087	11/17/00	11/18/00	5	5	724.2"
"					"
"1527439	11/16/00	11/21/00	1	1	486"
"					"
"1527613	11/16/00	11/22/00	4	1	820.21"
"					"
"1527613	11/16/00	11/22/00	4	2	10885"
"					"
"1527613	11/16/00	11/22/00	4	3	342.9"
"					"
"1527613	11/16/00	11/22/00	4	4	438"
"					"
"1541179	11/21/00	11/23/00	3	1	592.1"
"					"
"1541179	11/21/00	11/23/00	3	2	602"
"					"
"1541179	11/21/00	11/23/00	3	3	185"
"					"
"1548847	11/18/00	11/22/00	3	1	780.2"
"					"
"1548847	11/18/00	11/22/00	3	2	426.7"
"					"
"1548847	11/18/00	11/22/00	3	3	427.89"
"					"
"1558921	12/3/00	12/6/00	4	1	618.2"
"					"
"1558921	12/3/00	12/6/00	4	2	625.6"
"					"
"1558921	12/3/00	12/6/00	4	3	616"
"					"
"1558921	12/3/00	12/6/00	4	4	221.2"
"					"
"1571245	10/26/00	10/27/00	3	1	423.8"
"					"
"1571245	10/26/00	10/27/00	3	2	710"
"					"
"1571245	10/26/00	10/27/00	3	3	727"
"					"
